text,n
Australia coronavirus live: Sydney school closed after student tests positive as death toll hits 95 – latest updates https://t.co/0085FSqM4W,25
"Minding the gap - visualising the impact of COVID-19 on global education. Read my blog announcing a new tool to display @CGDev's school closure database using @MSPowerBI.  @Fihi_maFihi @PaulineMRose    
👀👉Blog: https://t.co/pVCVEXdSKW 
👀👉Tool: https://t.co/J1uqFSNOdc https://t.co/lPhs0HjXoR",25
"So he didn’t catch it at school
Where did he catch it?
Cokes?
Woolies?
Do we close supermarkets ?
No
Just schools
https://t.co/qjzi3PWDb3",24
BREAKING @DominicRaab talks about potential risk to #coronavirus transmission of opening schools #downingstreet #briefing https://t.co/w1BQb4pLNp,24
"Many parents believe reopening schools in June is too early in the UK's battle against coronavirus, with many thinking it might cause a second wave. https://t.co/D9wwmoX0KG",22
Teachers react with fury at former schools minister @Andrew_Adonis  suggestion that @Ofstednews should intervene to rate online learning provision https://t.co/VLeC5FQpWQ,21
"Excl: The Government has told industry groups that the new coronavirus distancing plans for workplaces will have to be in place for between 6 and 12 months: 
https://t.co/VeRu7etpRN
#TomorrowsPapersToday https://t.co/Eop8iUZ2Jd",21
"Social workers brace for surge in child protection referrals when schools re-open

@ChildrensComm tells me school closures will have devastating long-term impact on children – with some never able to catch up – unless urgent action is taken to support them https://t.co/PADVul5rQg",20
"Schools in UK may not return until September, Hancock warns https://t.co/gGSv3GdrK9",20
Editorial: The least Britain can do during the pandemic is feed the children who have been plunged into poverty https://t.co/kF0O8jwQTu,20
"Parents! Take the @Parentkind survey on when UK schools should reopen - closes 4th May at 9am. Results will inform government policy making 🙏

https://t.co/8o6nCqJcot

#COVIDー19 #Covid19UK #Covid_19 #coronavirusuk #HomeLearningUK #SchoolClosures https://t.co/6XiXelOca8",20
Majority of Americans think Trump is doing a poor job tackling coronavirus https://t.co/Hyg60fpjzr,20
"Housing Sec @RobertJenrick says the govt has ""taken scientific advice"" on the level of protective equipment needed in schools when they reopen, and the current advice is that staff in non-residential settings ""don't require PPE"".

#Coronavirus latest: https://t.co/mrEW6A74e7 https://t.co/bKTY9C5hUo",19
"Get the latest coronavirus guidance for schools by subscribing to our teacher bulletin.     

Subscribe now for the latest updates from us straight to your 
inbox 👇 

https://t.co/Pcr2eGJBO6 https://t.co/Ny3y5kJmKW",19
"Gyms and crèches will be last in the roadmap plan, along with schools and colleges, more details about what opens in which phase can be found here:

https://t.co/U9PICjFC3n via @IrishTimes",18
#PCS has launched a Save The British Council campaign to fight for the future of the organisation whose funding has been cut by 85% because of the closure of nearly all its schools due to coronavirus-related measures worldwide. https://t.co/uWwUI8TcpZ #SaveBritishCouncil https://t.co/Qvp8TZFWXk,17
"Nicola Sturgeon says Scottish gov't will announce when schools go back – not UK gov't https://t.co/P9OcaLNrG9

🤣🤣🤣🤣🤣🤣

Of course. The Scottish gov't have total control of Education here. Just like the NHS, Education is 100% devolved to Holyrood

Please remember that folks.",17
"Schools have reopened in Wuhan, the city where #COVID19 originated.

Students wore masks and entered in single file past thermal scanners, desks were kept one metre apart and arrival times staggered.

More here: https://t.co/l5mc7PN4sU https://t.co/XD07eOSJqq",17
Coronavirus: scientists caution against reopening schools https://t.co/BOxpyI9HaU,17
"#Coronavirus: When will UK schools reopen, and what can we learn from Europe about how it will happen? https://t.co/uLURAX0ezl",17
"First Minister says schools won't reopen until at least June as he outlines plans for who returns first

https://t.co/hGU4XTAMWn https://t.co/0YhvpjVW1O",17
".@NicolaSturgeon at @scotgov briefing:

- We are seeing progress but progress is fragile 
- Need to get &amp; keep R number below 1
- R needs to be below 1 before we restrictions ease
- See Denmark experience re schools

Framework for Decision Making' doc 👇
https://t.co/1C9AiiN9wu",17
"Former schools minister @Andrew_Adonis told to ""get some evidence"" after writing to @Ofstednews over ""poor"" remote teaching provision during school closures https://t.co/12r1ugROJV - me via @tes",17
"Science says Primary-aged children are less at risk of Coronavirus but are people forgetting about teachers and those who work with these children? If schools are opening again in June, we should have protection in place. Can't rely on social distancing, it's impossible.",16
"If you only read three stories...

🔴 UK has highest number of 
 #COVID19 deaths in Europe https://t.co/SdNnca5KoT

🔴 Rival states targeted UK and US COVID-19 labs with 'malicious cyber campaigns' https://t.co/uOvvO1v1fO

🔴 How could UK open schools? https://t.co/ilKC2xL6Et https://t.co/HSSFpxWJnm",16
"Ten teacher unions across the UK and Ireland have written to the education ministers in England, Wales, Scotland, Northern Ireland and the Republic warning against a rush to reopen schools https://t.co/nS6VYGHkLM @theipaper",16
"United’s Foundation are donating £300,000 to local schools in latest coronavirus initiative #mufc",15
"Exc: WhatsApp users are spreading details of Ireland’s exit strategy...but claiming them as UK government advice. 

The messages imply lockdown will effectively end in August, with bars, schools and swimming pools reopened.
https://t.co/CtgewFvxxp",15
Coronavirus: Reopening Scottish schools too early could 'overwhelm' NHS - BBC News ⁦@MaryBoustedNEU⁩ ⁦@cyclingkev⁩ ⁦@NEUnion⁩  https://t.co/aVkDRrzGNT,14
Denmark's coronavirus infection rate has jumped from 0.6 to 0.9 since schools and nurseries reopened https://t.co/gcD2hoiWp5,14
"Here's the latest update on arrangements for the summer:
• Schools and colleges can amend entries from today until 15 May.
• Students in Year 10 and below who had been entered for exams this summer will be eligible to receive calculated grades.
More info https://t.co/RWD0OOfFtn https://t.co/O3v3YrIMut",14
"""We could see thousands of children really being left behind.""

Labour MP @PutneyFleur says running summer schools for disadvantaged children when #coronavirus restrictions are eased is ""vitally important"" and ""absolutely possible to do"".

Read more: https://t.co/NiW89Hj9V6 https://t.co/diDegD8VSe",14
"""We didn't want to shut schools and colleges"".

@MattHancock says the UK ""really had to"" shut schools and colleges because they ""help to spread"" #COVID19, adding the govt is considering when they can reopen.

Follow live: https://t.co/zZI4u37FbY #AskTheHealthSecretary https://t.co/6gIffFsqtn",14
Sturgeon says Scot Govt will announce when schools go back - not Westminster https://t.co/uvMFvADlzH,14
Safety talks to be held tomorrow between @educationgovuk and unions including @ASCL_UK and @NEUnion as Government drafts school re-opening plans https://t.co/7HFqYL1jiw,14
"Speaking at the Downing Street press briefing yesterday, The government's deputy chief medical officer said ensuring that young primary-age pupils are kept apart if schools reopened would be ""really tricky""
https://t.co/1WUQIXA2gn",13
NJ high school sports spring season ‘not a viable option’ as schools will stay closed https://t.co/eXEM3jAQ5s via @NorthJersey,13
Very pleased to see this article on re-opening schools published today - proud to work with @didjourdan and @MichaelMarmot on such an important topic @UNESCOchairGHE @IAAHglobal @NCDChild @AYPHcharity https://t.co/KmIJE9WFvg,13
Yikes!! @Eton_College in talks to open selective schools in north of England as its head says private schools could find themselves on wrong side of history after  #coronavirus Story @thetimes https://t.co/EYPuVe4Yfu,13
"If the #UK #Government rush to reopen primary #schools in June putting not just our #children at risk but also the teaching &amp; support staff in school.
Would you consider removing your child from the education system to protect them from #Coronavirus risks?",13
"Worried Brits do not want coronavirus lockdown lifted as just one in five back reopening schools and pubs, poll reveals https://t.co/TnQASSRuAV",12
"Reopening all schools at once would create a risk of the virus infection rate rising and causing a second wave, Dominic Raab has said https://t.co/h2E2orHPTD",12
"Tomorrow night on Coronavirus: Scotland's Response:

We'll be putting your questions to Education Secretary @JohnSwinney MSP.

Got a question about schools you'd like us to ask him?
Tweet us below or by using the hashtag #ScotResponse 📩 https://t.co/btSX76Usep",12
BREAKING: Ireland extends lockdown until May 18 and schools to reopen in September  https://t.co/AENjHZ3sez https://t.co/jEexntduYK,12
"Coronavirus: Make it clear WHY pupils are returning, and 7 other demands from headteachers https://t.co/Gg9tkwvhVY @ASCL_UK",12
Editorial: The least Britain can do during the pandemic is feed the children who have been plunged into poverty https://t.co/OkXz77M0Fg,12
Primary schools 'will go back on JUNE 1 as coronavirus lockdown is lifted https://t.co/qsAfYFoYAQ,12
Reopening schools poses ‘significant risk of second wave of coronavirus outbreak’ https://t.co/caWdFDUC7W,12
The Prime Minister is expected to unveil the Government’s “roadmap” out of the coronavirus lockdown in an address to the nation next Sunday https://t.co/T5wRB6c7tj,12
Children as likely to get infected by coronavirus as adults ... new study shows. Will this mean school openings are delayed? Story @thetimes https://t.co/TK6y4mFR1F,12
"“It’s almost inconceivable that all pupils will be back before the summer holidays. I honestly can’t see that being possible”

@scotgov Deputy First Minister @JohnSwinney speaks to @rjcurran2 about when Scotland’s schools could return after the coronavirus pandemic. #ScotResponse https://t.co/8HWUYRdbOs",12
"The General Secretary of the Ulster Teachers’ Union #UTU, Jacquie White, was interviewed this evening on UTV Live. She warned about the reopening of schools prematurely causing the risk of a spike in the transmission of coronavirus. https://t.co/8y9F05V6d3",12
"It will be ""important"" to reach a ""vastly increased"" testing capacity by the time children return to school, an expert in infectious disease has said.
https://t.co/BHU07tfi6G #schools #coronavirus",11
"Coronavirus in Scotland: Private schools get reprieve from rates hike to see off crisis. This should never have been imposed in the first place. It is a vindictive measure imposed by an ignorant finance secretary who has since evaporated. Good riddance. 

https://t.co/zDFL5eUmm1",11
How the UK’s lockdown compares to others around the world https://t.co/zGouDEoP67,11
"Services, businesses and private schools all offering discounts because offer is reduced but govt says students must pay full whack in sept whatever they get

Coronavirus: Students to pay full tuition fees even if universities are shut

https://t.co/HruP3cedLT",11
"People are up to 30 times more at risk from coronavirus standing 1m from an infected person than standing 2m away, according to Uk scientific advisor Sir Patrick Vallance
https://t.co/XhcLS4d8Qo https://t.co/nI3PymG97I",11
"Former schools minister @Andrew_Adonis wrote to Ofsted complaining that ""many schools"" are ""not providing adequate online learning and support"" during the coronavirus crisis – and #edutwitter responded 
https://t.co/VLeC5G80Oo",11
Read Teachers’ 7 top tips for supporting wellbeing and learning during coronavirus https://t.co/IGfE5DKEIX https://t.co/X2mUtD2gVY,11
"Breaking: Education in Scotland to change 'for the foreseeable future' due to #coronavirus

@ScotGov document:

- Year groups could be ranked in priority order for return
- Mix of in-school and at-home learning
- Deep cleaning of schools while pupils are not there https://t.co/CHJ78gynGT",11
BREAKING: 10 teaching unions from across UK and Ireland write open letter to @GavinWilliamson @educationgovuk urging “significant caution in any consideration of reopening schools.” @NEUnion @NASUWT @ucu @ITVCentral #education #schools #Coronavirus https://t.co/jGcRgeGPyc,10
"While we are doing all we can to support the wellbeing of our young people during the school closures, we must not forget our teachers. From financial grants to mental health support, @EdSupportUK advise SecEd readers : https://t.co/K3DCCtIKuE #schoolclosureuk #mentalhealth",10
"School social worker Rocío Luquero helps youth in the darkest and poorest corners of Seattle's education system. That hasn't changed b/c of #coronavirus. 

Last week, she spent 3 days at a hospital with a student who was about to give birth. 

https://t.co/9dYvkEOCkZ

#waedu https://t.co/NItKc34AgB",10
Opinium shows govt struggling to hold public support over handling of #coronavirus. % approve of gov management of crisis fallen from 61% 3 weeks ago to 47% with those who disapprove up from 22% to 34%. Net approval rate fallen from plus 39% to plus 13% https://t.co/zhufCI4S1u,10
"Paying teachers over time to work in summer schools will be essential to helping disadvantaged children catch up following the school closures, according to @TeachFirst 
https://t.co/VNJjkpFIhL",10
"Excellent article from @elashton about the existential threat facing childcare providers.

As I say in the piece, they've been asked to take on the responsibilities of schools but the liabilities of businesses. It's no wonder so many are having to close.

https://t.co/7N0T9XH3dY",10
"A ""phased"" approach to lifting lockdown is likely to see primary school children returning to their schools in June, according to reports, while there are set to be measures introduced for office workspaces.

https://t.co/nZm5Q5Yg70",10
The @NEUnion has joined forces with @Parentkind in sending a letter to education secretary @GavinWilliamson urging caution about the reopening of schools https://t.co/ZHKLVUyeEy - via @Specktator100 for @tes,10
"#Coronavirus latest news 🦠

🏫 Reopening all schools would bring 'very real risk' of a second peak in the UK, warns Dominic Raab

https://t.co/iTtZDUq062",10
"A good move from @Eton_College. They’re right, #coronavirus must trigger change which addresses inequality in UK education. But they can’t make a difference on their own. Which other large independent schools will step up with similar plans? @HMC_Org https://t.co/tGCTB8ZKIj",10
"“Researchers found viral loads in children differed little from those in adults. Opening schools on the assumption that children are less likely to spread the virus was ill-advised, said Drosten, a virologist and Germany’s leading coronavirus expert”  https://t.co/jd77PEULaa",10
"Information about school opening times and their services during the coronavirus pandemic.

https://t.co/s4yjQ6bd9G https://t.co/OzEQgNPcK5",10
"What do teachers think are the most important things to remember to help with children's learning and wellbeing during Covid19? Tip 1: ""Be kind to yourself. Coronavirus is not a normal situation. It’s ok not to feel ok about it all"". For 6 more tips see https://t.co/IGfE5DKEIX https://t.co/0w3oU8dy61",9
The @educationgovuk has published a tranche of remote education best practice case studies from schools - but stresses provision is still optional https://t.co/z5UUP0l0Ix,9
"Schools in UK may not return until September, Hancock warns https://t.co/D3MiM6RZ7p",9
The leaders of England's two largest teaching unions have come together with others from across the UK to urge 'significant caution' over plans to reopen schools  https://t.co/NX72UVX4C1,9
"Testing needs to increase dramatically for when schools re-open, according to @uniofoxford infectious diseases expert https://t.co/r0L7o9kvAN",9
Reopening schools must be done with the safety and best interests of children at the heart of decision-making. https://t.co/T2t5j4LQWo,9
"Check out the latest instalment of our Friday 'good news' round-up, where we highlight the many different ways schools are offering their support during the coronavirus pandemic... https://t.co/Z6cPjoTRt4 https://t.co/aDIDKGgKxp",9
"Schools may be closed but our school nurses aren't putting their feet up. They are out and about swabbing residents in care homes. Thank you Dudley school nurses, you are doing a brilliant job!❤️🌟 #coronavirus #TeamShropcom #OurNHSPeople https://t.co/kXH63Owyqh",9
"Advice from @mindworkmatters (taken from the #Covid19MHWBpanel in March) in this week's episode of @FlourishingED on how to support older teens during the #Coronavirus crisis. 

https://t.co/b0SmuYj86Q

#Covid19 #wellbeing #PositiveEducation #schools #teenwellbeing #edutwitter https://t.co/Q4AkNS4QM0",9
Australia coronavirus live: Frydenberg warns of economic shock as Ruby Princess inquiry resumes – latest updates https://t.co/uuBa9ZlO60,9
"How many children are still attending schools and nurseries during the #COVID19 pandemic? And can childcare providers access the Coronavirus #JobRetentionScheme?

Read our briefing for more key questions on Covid-19 and childcare https://t.co/mcsr0qa20S",9
"Primary schools in England could reopen on 1 June, reports suggest https://t.co/x3LB34m2g3",9
"There was a meeting with teachers of Islamic Almajiri schools in the state to let them know why the decision was taken.

Primary to tertiary institutions are closed in the country as part of measures to reduce the spread of Coronavirus.

Almajiri schools cannot be an exception.",9
"Coronavirus: Pupils should return to schools in a part-time, phased manner when they reopen, says teaching union group.
https://t.co/fSrcyHMNSW",9
"Reopening schools too early risks spike in coronavirus spread, unions warn https://t.co/e6LGqt9Usu",9
"Coronavirus: Give heads directions, not guidance, on safety, and 7 other demands from headteachers https://t.co/Gg9tkwvhVY @ASCL_UK",9
"We have made some additions to our Mental Health and Wellbeing page. Most notably with the addition of the Young Devon Wellbeing Toolkit, a downloadable resource.

To download the toolkit as well as taking a look at our Mental Health page: https://t.co/CNQfeRbwJe https://t.co/x06tLRpmTB",9
"Andrew Cuomo has announced he is going to use the Covid–19 pandemic to ""revolutionize"" New York's education system. And he wants Bill Gates to help him. 

This seems like a pure @NaomiAKlein shock doctrine style move to implement charter schools. 

https://t.co/XmhOYVaZVW",9
Fearful Britons remain strongly opposed to lifting coronavirus lockdown. “The clamour to ‘reopen the economy’ is largely taking place in Westminster and is not really reflective of wider public sentiment.” Tories want us to start earning their money again! https://t.co/ByIyXcUsEu,8
Exclusive: Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/CZNBdKsNE5,8
When might the lockdown in the UK come to an end? https://t.co/YPQ9W9CMwv,8
When might the lockdown in the UK come to an end? https://t.co/YQAfHKGU6g,8
"Reopening Scottish schools too early could 'overwhelm' NHS with #coronavirus within two months
https://t.co/RNgsjMuE4J",8
"In the main, builders are not outdoor workers.. the risks are in shared rooms, tools, toilets &amp; vans... &amp; most significantly builders leaving city sites on a Friday carrying Covid19  home to every county in Ireland (north &amp; south) https://t.co/NBNzOkzO24",8
"Pupils could be going back to school as early as June, according to reports https://t.co/1UWRdXCNue",8
"Coronavirus: 'We go hungry so we can feed our children' - had to give up their zero hours contract jobs and are relying on universal credit payments, food vouchers from the government and the occasional food parcel from local schools. https://t.co/kJqsny6ZmG",8
Coronavirus: When will UK schools reopen and what can we learn from Europe about how it will happen? https://t.co/C7EUV8m81d,8
Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/XWhVQXBM9L,8
"Official: #MUFC are donating £300,000 to local schools during the coronavirus pandemic. 30 schools will receive £10,000 each.",8
"Many of us parents at #WHX have signed &amp; shared the @NEUnion petition: Open schools when it is safe. #FiveTests #parenting
 #coronavirus #education #ParentingInLockdown

It opposes any re-opening of schools before it is safe to do so.

Please sign too: https://t.co/F1q7Ic4OQK",8
"Children DO catch the coronavirus as often as adults, study finds https://t.co/P53XUhuVt0 via @MailOnline. Really going to upset those shouting out for schools to reopen for their own motives, they are certainly not worried about the  interests of children or teachers.",8
"We don't want to be nervous around our possibly asymptomatic children.
https://t.co/0vTqD1hdvb",8
The Department for Education has launched a consultation process to identify more online education resources that it can promote to schools and parents https://t.co/C7jCqe4F7J,8
"Social distancing of young pupils in schools 'would be very difficult', the government’s deputy chief medical officer has said  https://t.co/x8s9PtF3Sb",8
"Any decision needs to be UK wide, and only when safe to do. Why open schools and make children vectors? #coronavirus #schoolsreopening #notherdimmunity https://t.co/ycj7maQPAd",8
"We celebrate #LocalHeroes young and old on the front page of @First_News.
Thank you to @captaintommoore and young Frank Mills, aged 6, both doing so much to thank the @NHSuk for all they’re doing for us #coronavirus 
@CST_Schools @PerpGames @NHSCharities 

https://t.co/oX93aiJyDo https://t.co/yhTSGr7arA",8
Stopping mass gatherings and closing schools have been most effective measures to flatten #coronavirus curves in Europe; stay at home orders &amp; business closures much less so.  Analysis of real data by @Metadoc with @FJColon.  @EPR_HPRU @UEAResearch   https://t.co/mIVXdw9xhn,8
"@karamballes The Telegraph is obsessed with re opening schools it seems. In New York they are staying closed until Sept at least -

“We don’t think it’s possible” to reopen schools “in a way that would keep our children &amp; students &amp; educators safe,” Mr. Cuomo said.

https://t.co/HqxMVimei7",8
"'Government should be wary about opening schools too early,' NHS chief warns https://t.co/54mPDFdaa2 https://t.co/HuX4Hbul0r",8
"@lil_linzikay @matkinson956 @simonkidwell @smithsmm @AlisonMPeacock @PaulWhiteman6 @RaeSnape @jandiamond76 @DWearing1972 @GavinWilliamson @RLong_Bailey @PrimaryRocks1 @educationgovuk Thank you Linzi, that’s great - I understand your concerns and it’s probably equally as important to share this article as schools re-opening impacts not only all staff in schools but parents and the wider community too:
https://t.co/Yt7reUzqj0",7
"""The extent of this lie is uncovered with just one fact: 40 per cent of the educational attainment gap that poor children are burdened with is created before they even start school."" https://t.co/KjcEih4Y94",7
A very moving story that we can all relate to. Coronavirus: 'Schools can't go back to the way they were' | Tes by ⁦@SiobhanHead⁩  https://t.co/D5POjvSiCL,7
"Not until the HOC are packed again, would I send my kids back to school, they run the country, so if it's safe, let THEM go back first &amp; lead by example.

Also, how do you get primary school children to socially isolate? Or kids in schools generally!

https://t.co/7gpBtDNS6o",7
Numbers of supply teachers seeking financial aid such as food vouchers from @EdSupportUK doubles as many continue to struggle to get paid suring school closure https://t.co/uzJialJJrx,7
"ONS figures just published show the true coronavirus death toll in Wales was already 1,395 on April 24

Follow live updates on our dedicated blog here 👇

https://t.co/bpt5375IGY https://t.co/lpt4IrfDHe",7
"Sorry to barge in at the start of #ASEChat but....

In guide GL336, we cover all things COVID-19 including when we will publish guidance on schools re-opening.

https://t.co/6YdU8CykNV https://t.co/oFkkYnRPPB",7
"Many parents believe reopening schools in June is too early in the UK's battle against coronavirus, with many thinking it might cause a second wave. 

@ShelaghFogarty | #schoolsreopening 

https://t.co/D9wwmoX0KG",7
"Online learning covered from all angles in today's Coronavirus and schools: LIVE blog - from whether you can inspect it, to the platforms schools are using, and a new online SEND curriculum https://t.co/s8yQYoNMmp",7
"Schools built on kindness - this is an idea I can wholeheartedly support!

'The human stuff matters': heads call for a kinder school system post Covid-19 

https://t.co/vkLjS8iYXx",7
