,trigram,n
465,contracting covid19 uk,34
1316,government response tracker,32
2270,publichealthni may coronavirus,31
146,april coronavirus tests,31
601,covid government response,31
2404,response tracker data,31
2006,office national statistics,30
1976,notoriously difficult covid19uk,28
9,accompanying infographic read,28
1820,may understate damage,28
1812,may died since,28
2957,true toll covid,28
1940,new statistics suggest,28
1582,infographic read find,28
412,company going processing,28
2883,toll covid elderly,28
2879,told processing anonymised,28
1845,might underrepresenting true,28
528,coronavirus outbreak uk,28
309,care homes newstatesman,28
299,care home residents,28
1774,made broken palantir,28
1946,newstatesman one care,28
1613,investigated number deaths,28
1826,meaning exactly anonymisation,28
3100,ve published weekly,28
2761,surveillance report accompanying,28
2233,processing personal data,28
751,data meaning exactly,28
785,data told processing,28
3035,underrepresenting true toll,28
2759,surveillance company going,28
110,anonymised data meaning,28
2162,personal data told,28
2230,processing anonymised data,28
1228,going processing personal,28
3153,weekly covid19 surveillance,28
2242,promises made broken,28
916,died since coronavirus,28
2285,published weekly covid19,28
2398,residents may died,28
1124,fatality numbers may,28
2378,report accompanying infographic,28
1057,exactly anonymisation notoriously,28
3146,we ve published,28
109,anonymisation notoriously difficult,28
2084,palantir surveillance company,28
1483,homes newstatesman one,28
1983,number deaths care,28
2738,suggest current fatality,28
635,covid19 surveillance report,28
1994,numbers may understate,28
271,broken palantir surveillance,28
2702,statistics suggest current,28
2682,statistics might underrepresenting,28
666,current fatality numbers,28
2601,since coronavirus outbreak,28
2031,one care home,28
2022,official statistics might,28
1472,home residents may,28
3009,uk official statistics,28
2329,read find blog,28
2067,outbreak uk official,28
1349,governments contact tracing,27
2483,says wants assurances,27
808,davis says wants,27
1209,get latest coronavirus,27
2159,period 21 days,27
1178,former brexit secretary,27
806,david davis says,27
898,destroyed governments contact,27
814,days get latest,27
2920,tracing app period,27
715,data destroyed governments,27
2831,the data destroyed,27
2529,secretary david davis,27
0,21 days get,27
3129,wants assurances the,27
180,assurances the data,27
131,app period 21,27
261,brexit secretary david,27
236,better represented crisis,26
3179,women better represented,26
2390,represented crisis decision,26
718,data disaggregated sex,26
83,also need data,26
1911,need data disaggregated,26
926,disaggregated sex well,26
872,decision making table,26
3161,well protected characteristics,26
651,crisis decision making,26
2775,table also need,26
2564,sex well protected,26
279,calling women better,26
1785,making table also,26
2051,open letter nhs,25
549,coronavirus tracking pandemic,25
1355,governments science advisory,25
557,costs key factors,25
3157,weeks later herd,25
2183,plus deaths covid19,25
2979,uk data discussed,25
1127,feb uk data,25
1659,key factors bylinetimes,25
1919,nervtag indicated risk,25
2283,published open letter,25
2289,purposes coronavirus tracking,25
2853,three weeks later,25
1862,mission creep ie,25
1716,letter nhs contact,25
3134,warning mission creep,25
1445,herd immunity costs,25
1684,later herd immunity,25
931,discussed governments science,25
1682,late feb uk,25
2438,risk million plus,25
1847,million plus deaths,25
3081,used purposes coronavirus,25
844,deaths covid19 strategy,25
1950,nhs contact tracing,25
1210,getting used purposes,25
2153,peoples data getting,25
239,big pack cybersec,25
2492,science advisory group,25
52,advisory group nervtag,25
671,cybersec experts published,25
2921,tracing app warning,25
134,app warning mission,25
1568,indicated risk million,25
649,creep ie peoples,25
2077,pack cybersec experts,25
1078,experts published open,25
634,covid19 strategy change,25
727,data getting used,25
1533,immunity costs key,25
2722,strategy change three,25
341,change three weeks,25
1525,ie peoples data,25
1375,group nervtag indicated,25
719,data discussed governments,25
980,early late feb,25
2267,publichealthni april coronavirus,24
1757,lockdown lifted live,23
1542,imposed coronavirus lockdown,23
2256,provides update five,23
2174,place deciding government,23
871,deciding government imposed,23
2818,tests place deciding,23
1728,lifted live updates,23
518,coronavirus lockdown lifted,23
1008,england deputy cmo,23
375,clear data past,23
379,cmo jonathan vantam,23
1632,it clear data,23
3050,update five tests,23
2115,peak england deputy,23
2105,past peak england,23
1163,five tests place,23
1651,jonathan vantam provides,23
3098,vantam provides update,23
761,data past peak,23
1285,government imposed coronavirus,23
893,deputy cmo jonathan,23
775,data seen ministers,21
1928,new data seen,21
1998,obese people icus,21
2507,scientists shows proportion,21
1519,icus twice proportion,21
2967,twice proportion general,21
2245,proportion general population,21
1857,ministers government scientists,21
2246,proportion severely obese,21
2133,people icus twice,21
2590,shows proportion severely,21
2563,severely obese people,21
2544,seen ministers government,21
1322,government scientists shows,21
2271,publichealthni may voluntarily,20
1192,full data transparency,19
2804,test one govt,18
1838,messaging many people,18
2310,range people many,18
2942,traffic data observations,18
2231,processing data everyone,18
2036,one govt drivein,18
1754,lockdown already government,18
2134,people impression subsequently,18
1295,government messaging many,18
2074,owned libertarian billionaire,18
1543,impression subsequently expect,18
488,coronavirus covid19 deaths,18
1889,much harsher second,18
409,companies processing data,18
2735,subsequently expect much,18
752,data mining group,18
158,april voluntarily summarize,18
2080,palantir data mining,18
754,data observations polling,18
38,added list private,18
2114,peak coronavirus covid19,18
2196,polling speaking range,18
1376,group owned libertarian,18
2781,taken covid test,18
1792,many people impression,18
1791,many lockdown already,18
242,billionaire peter thiel,18
1357,govt drivein centres,18
1052,everyone taken covid,18
211,based traffic data,18
80,already government messaging,18
616,covid test one,18
724,data everyone taken,18
2001,observations polling speaking,18
1853,mining group owned,18
1743,list private companies,18
2525,second peak coronavirus,18
1399,harsher second peak,18
2639,speaking range people,18
1721,libertarian billionaire peter,18
2141,people many lockdown,18
2223,private companies processing,18
2843,thiel added list,18
1071,expect much harsher,18
2164,peter thiel added,18
2076,oxford covid government,17
16,according ipsosmori data,16
2779,take view according,16
1358,govt slow lockdown,16
999,emerging uk govt,16
1778,majority tory voters,16
3119,voters take view,16
3106,view according ipsosmori,16
3001,uk govt slow,16
2616,slow lockdown even,16
1756,lockdown even majority,16
1040,even majority tory,16
2905,tory voters take,16
446,consensus emerging uk,16
2946,transparency understand impacts,15
599,covid disabled people,15
1199,future service planning,15
925,disabled people inform,15
1914,need full data,15
2136,people inform current,15
667,current future service,15
3067,urgently need full,15
1538,impacts covid disabled,15
788,data transparency understand,15
1583,inform current future,15
3038,understand impacts covid,15
2552,service planning vodgmembership,15
1103,faculty palantir many,14
435,confidential data likes,14
540,coronavirus strategy worked,14
318,carolecadwalla actually dangerous,14
1517,hunt effective policies,14
2565,share confidential data,14
2188,policies covid government,14
125,app govts willingness,14
745,data likes faculty,14
233,best scientists hunt,14
740,data informs article,14
907,dhscgovuk cmo_england cmowales,14
1793,many people inc,14
1598,install app spread,14
1590,informs article nresearchnews,14
396,combine centralised app,14
1125,fawcettsociety orgs calling,14
3174,whose coronavirus strategy,14
2083,palantir many people,14
2250,protected characteristics makewomenvisible,14
3176,willingness share confidential,14
2966,tvp_mk fawcettsociety orgs,14
382,cmowales phe_uk nhsengland,14
2060,orgs calling women,14
32,actually dangerous combine,14
1866,mkhospital mkcouncil tvp_mk,14
2166,phe_uk nhsengland publichealthni,14
2135,people inc wont,14
1865,mkcouncil tvp_mk fawcettsociety,14
2505,scientists hunt effective,14
2268,publichealthni april voluntarily,14
685,dangerous combine centralised,14
2930,tracker data informs,14
335,centralised app govts,14
133,app spread word,14
3180,wont install app,14
989,effective policies covid,14
1731,likes faculty palantir,14
169,article nresearchnews great,14
380,cmo_england cmowales phe_uk,14
1362,govts willingness share,14
1977,nresearchnews great charts,14
3184,worked best scientists,14
1551,inc wont install,14
2725,strategy worked best,14
1967,nis department health,13
2387,reporting covid figures,13
2666,statistics authority reprimanded,13
1422,health reporting covid,13
888,department health reporting,13
188,authority reprimanded nis,13
2391,reprimanded nis department,13
3145,we re calling,12
2320,re calling women,12
2251,protected characteristics see,12
1191,full asks makewomenvisible,12
348,characteristics see full,12
2537,see full asks,12
2059,organisations we re,12
2714,still unsure degree,11
3085,users raises concerns,11
2637,south korean data,11
2645,spread coronavirus even,11
2932,tracker data updated,11
356,check users raises,11
1037,even don symptoms,11
360,children spread coronavirus,11
2221,privacy mission creep,11
880,definitively know can,11
881,degree children spread,11
735,data gvt medics,11
1569,indicators adjusted geographically,11
3058,updated stringency index,11
1387,gvt medics don,11
959,don symptoms although,11
503,coronavirus even don,11
1206,geographically general targeted,11
40,adjusted geographically general,11
3219,yesterday press conference,11
430,conference government still,11
1777,main takeaways yesterday,11
1002,encouraged south korean,11
1439,help keep coronavirus,11
562,could help keep,11
483,coronavirus check users,11
1934,new indicators existing,11
1833,medics don definitively,11
88,although encouraged south,11
2307,raises concerns privacy,11
2767,symptoms although encouraged,11
2969,two main takeaways,11
426,concerns privacy mission,11
2780,takeaways yesterday press,11
1656,keep coronavirus check,11
2212,press conference government,11
285,can get twice,11
957,don definitively know,11
1669,korean data gvt,11
3047,unsure degree children,11
1329,government still unsure,11
1664,know can get,11
1442,helping government make,10
2458,sage meeting tech,10
2895,took part sage,10
2163,personally delighted demishassabis,10
773,data scientists google,10
2794,tech firm confirms,10
2361,refuses advise world,10
1835,meeting tech firm,10
1697,leading data scientists,10
3132,warner facultyai helping,10
884,demishassabis marc warner,10
1234,google executive took,10
2504,scientists google executive,10
1798,marc warner facultyai,10
874,decisions covid alt,10
2261,public health england,10
882,delighted demishassabis marc,10
3187,world leading data,10
437,confidential patient data,10
1107,facultyai helping government,10
1407,headline gov refuses,10
1240,gov refuses advise,10
46,advise world leading,10
584,covid alt headline,10
1779,make decisions covid,10
1068,executive took part,10
2096,part sage meeting,10
86,alt headline gov,10
1294,government make decisions,10
2274,publichealthw scotgovhealth healthdpt,9
2739,suggest total loss,9
2907,total loss life,9
2420,reuters true figure,9
517,coronavirus linked excess,9
1740,linked excess uk,9
1681,late april ons,9
2955,true figure coronavirus,9
1726,life higher government,9
1769,loss life higher,9
2982,uk deaths late,9
1959,nhsengland publichealthni publichealthw,9
2272,publichealthni publichealthw scotgovhealth,9
2043,ons data suggest,9
781,data suggest total,9
1063,excess uk deaths,9
853,deaths late april,9
1450,higher government figures,9
152,april ons data,9
1130,figure coronavirus linked,9
1273,government effort ensure,8
1508,hse said data,8
1718,letter regarding statistical,8
496,coronavirus deaths europe,8
1304,government new nhsapp,8
794,data used ireland,8
2661,statistical information relating,8
2367,relating covid northern,8
1715,less intrusive public,8
1624,ireland uk statistics,8
1436,held government effort,8
607,covid northern ireland,8
1970,northern ireland uk,8
2917,tracing app held,8
126,app held government,8
2461,said data used,8
848,deaths europe according,8
2771,system less intrusive,8
1834,meeting apple google,8
992,effort ensure system,8
1016,ensure system less,8
1957,nhsapp could help,8
1623,ireland new contact,8
1587,information relating covid,8
1810,matt hancock said,8
3080,used ireland new,8
2363,regarding statistical information,8
1936,new nhsapp could,8
784,data time given,7
77,almost million tests,7
772,data scientist worked,7
812,day row latest,7
810,day fourth day,7
2626,somebody else affected,7
2029,official toll yet,7
2013,official death toll,7
1505,however government missed,7
2047,ons update death,7
2622,socialcare want make,7
1180,fourth day row,7
2589,shows mark ben,7
778,data shows almost,7
1252,government consistently massaging,7
765,data published office,7
229,ben warner harvesting,7
2383,reported europe according,7
2085,panarama exposé anticipation,7
3049,update death rates,7
2584,shows almost million,7
2358,reflecting government consistently,7
1463,highest official toll,7
1054,everything say informed,7
2318,rates worth reflecting,7
1402,harvesting confidential patient,7
481,coronavirus carried across,7
319,carried across great,7
451,consistently massaging statistics,7
24,across great britain,7
2151,people uk died,7
1861,missed target tests,7
156,april shows mark,7
1877,money expand operation,7
1296,government missed target,7
2154,per day fourth,7
2817,tests per day,7
2815,tests coronavirus carried,7
1897,national statistics coronavirusuk,7
1676,last nights panarama,7
2799,tell age_uk care,7
3200,worth reflecting government,7
295,care give somebody,7
2859,time given public,7
2870,todays data shows,7
2787,target tests per,7
1782,make sure everything,7
1808,massaging statistics anthony,7
2262,public money expand,7
1172,following last nights,7
1804,mark ben warner,7
3127,want make sure,7
3223,yet reported europe,7
1324,government socialcare want,7
11,according data published,7
2873,todays ons update,7
115,anticipation todays ons,7
114,anthony robinson covid_19,7
2891,toll yet reported,7
3133,warner harvesting confidential,7
995,else affected coronavirus,7
2281,published office national,7
1849,million tests coronavirus,7
294,care care give,7
826,death rates worth,7
2663,statistics anthony robinson,7
1027,europe according data,7
2108,patient data time,7
264,britain however government,7
59,age_uk care care,7
1965,nights panarama exposé,7
1589,informed experiences tell,7
2984,uk died suspected,7
1217,given public money,7
603,covid highest official,7
1212,give somebody else,7
1368,great britain however,7
1612,intrusive public coronavirus,7
50,advising government coronavirus,7
1093,exposé anticipation todays,7
2758,sure everything say,7
1073,experiences tell age_uk,7
2473,say informed experiences,7
2402,response coronavirus outbreak,7
917,died suspected covid,7
2764,suspected covid highest,7
2638,speak government socialcare,7
1398,hardest covid put,6
1319,government revised transport,6
1392,hancock said would,6
2090,paragraph wieler pointed,6
2425,revealed local authority,6
3053,updated chart car,6
2160,period yesterday weve,6
2155,per million population,6
873,decision nations pursue,6
2513,scotgovhealth healthdpt may,6
2094,part government response,6
2109,patient information datamining,6
860,deaths past months,6
975,due lack data,6
2432,revised transport data,6
1390,halfway government target,6
2530,secretary dominic raab,6
1010,england march april,6
183,authority areas gloucestershire,6
2201,population people really,6
3125,want compare countries,6
929,discovered could explain,6
1353,governments quoting apples,6
847,deaths england march,6
2406,response using oxford,6
2125,people deprived areas,6
845,deaths despite universal,6
856,deaths march st,6
3076,use walking cycling,6
1348,governments changing coronavirus,6
2187,pointed deadly complications,6
825,death rates per,6
941,diverging decision nations,6
942,division gchq intervened,6
2146,people really want,6
2116,pears aubergines data,6
897,despite universal health,6
2465,said would tests,6
2381,report deaths england,6
3056,updated new indicators,6
890,deprived areas higher,6
2442,rockboltg thats damning,6
181,aubergines data official,6
1556,includes indicators adjusted,6
824,death rate also,6
2830,thats damning paragraph,6
1126,feature financialtimes tracks,6
2313,rate also higher,6
292,capture covid related,6
293,car use walking,6
533,coronavirus response using,6
1657,keep hearing mortality,6
2797,technology firms processing,6
1909,nd april matt,6
2808,testing couldn institute,6
1907,nations pursue decentralised,6
1671,lack data little,6
1904,national statistics shows,6
1674,large volumes confidential,6
2819,tests today even,6
1883,mortality rates mortality,6
1203,gchq intervened explain,6
1929,new feature financialtimes,6
558,could capture covid,6
1610,intervened explain government,6
610,covid put together,6
2244,proportion covid deaths,6
1600,institute tracking tracing,6
1605,interactive map revealed,6
1041,even meant behind,6
1606,interchanged setting aside,6
162,areas higher death,6
559,could explain official,6
1945,news oxford covid,6
161,areas gloucestershire hit,6
2317,rates per million,6
2316,rates mortality numbers,6
1935,new interactive map,6
564,couldn institute tracking,6
1882,mortality numbers interchanged,6
1871,model collect process,6
2727,stringency index includes,6
2299,quoting apples pears,6
1827,meant behind curve,6
388,collect process citizens,6
3108,virus recently discovered,6
336,centralised model collect,6
3220,yesterday weve updated,6
1797,map revealed local,6
367,citizens data diverging,6
150,april matt hancock,6
2923,tracing due lack,6
1800,march april people,6
1801,march st april,6
2931,tracker data real,6
351,chart car use,6
347,changing coronavirus response,6
1176,foreign secretary dominic,6
2939,tracking tracing due,6
2940,tracks governments changing,6
1758,lockdown period yesterday,6
1154,firms processing large,6
1144,financialtimes tracks governments,6
3114,volumes confidential uk,6
2294,put together office,6
2291,pursue decentralised model,6
3208,would tests today,6
154,april people deprived,6
2947,transport data covid19,6
420,complications virus recently,6
2868,today even meant,6
438,confidential uk patient,6
1744,little halfway government,6
2877,together office national,6
1749,local authority areas,6
1848,million population people,6
611,covid related deaths,6
595,covid deaths despite,6
1315,government response coronavirus,6
1081,explain official statistics,6
1548,improved updated stringency,6
1080,explain government created,6
684,damning paragraph wieler,6
3010,uk patient information,6
802,datamining operation part,6
2557,setting aside fact,6
1993,numbers interchanged setting,6
791,data updated new,6
3175,wieler pointed deadly,6
2229,process citizens data,6
140,apples pears aubergines,6
2649,st april th,6
1449,higher death rate,6
706,data covid19 lockdown,6
1070,existing indicators improved,6
1452,higher proportion covid,6
2057,operation part government,6
2012,official death rates,6
2366,related deaths past,6
720,data diverging decision,6
1465,hit hardest covid,6
2017,official report deaths,6
2018,official statistics could,6
746,data little halfway,6
3167,weve updated chart,6
757,data official death,6
82,also higher proportion,6
2586,shows deaths march,6
2671,statistics could capture,6
767,data real time,6
2701,statistics shows deaths,6
1572,indicators improved updated,6
1571,indicators existing indicators,6
1099,fact governments quoting,6
1433,hearing mortality rates,6
1220,gloucestershire hit hardest,6
222,behind curve testing,6
91,amazing statistics official,6
647,created centralised model,6
1264,government created centralised,6
2688,statistics official report,6
3042,universal health care,6
1584,information datamining operation,6
1566,index includes indicators,6
626,covid19 lockdown period,6
3092,using oxford covid,6
2338,really want compare,6
2232,processing large volumes,6
1980,number coronavirus deaths,6
2343,recently discovered could,6
172,aside fact governments,6
670,curve testing couldn,6
817,deadly complications virus,6
1043,event great support,5
1262,government coronavirus virtualevents,5
1188,ft paywall savejulian,5
2379,report chrisgiles_ ft,5
1044,events data government,5
2269,publichealthni healthdpt publichealthw,5
2275,publichealthw scotgovhealth may,5
2209,ppe downing street,5
1171,followed science science,5
1017,epidemic italy according,5
3107,virus outbreak began,5
1131,figure faster epidemic,5
2327,reaching figure faster,5
1221,gloves sometimes counted,5
1287,government insists followed,5
1283,government ignored threat,5
1222,gloves statistics ppe,5
1223,gloves two gloves,5
1096,facilitate mission creep,5
3116,vote leave campaign,5
1205,general targeted details,5
1122,faster epidemic italy,5
2252,protective items sent,5
1247,government boasts number,5
1077,experts penned open,5
1275,government figures passing,5
1136,figures office national,5
1137,figures passing italys,5
1238,got done uk,5
2302,raab says government,5
1028,europe according government,5
3123,wait sages next,5
1069,existing improved indicators,5
1242,government admitted sometimes,5
2306,raised security concerns,5
1183,freeassange prisonerspeopletoo covid,5
984,easing lockdown coronavirus,5
1958,nhsengland publichealthni healthdpt,5
2998,uk government warning,5
1573,indicators updated stringency,5
1575,individually government boasts,5
1968,normal died uk,5
1597,insists followed science,5
2726,street said gloves,5
2728,stringency index indicators,5
1601,instituteforgov ifgdatabites event,5
2628,sometimes counted individually,5
2741,suggested threat time,5
1948,next review data,5
2754,support microsoftuk continue,5
580,counts pair gloves,5
43,advice changes science,5
572,counted individually government,5
2770,system collecting data,5
2695,statistics robert cuffe,5
1570,indicators existing improved,5
2691,statistics ppe downing,5
646,cracking lineup latest,5
250,boris got done,5
2630,sort centralised system,5
703,data could facilitate,5
1526,ifgdatabites event great,5
1527,ignored threat government,5
696,data changes models,5
1989,number protective items,5
1544,impressive series events,5
1546,improved indicators updated,5
3004,uk highest number,5
673,cybersecurity experts penned,5
982,early may easing,5
661,cuffe boristhebutcher getitdone,5
657,critics say government,5
1567,index indicators adjusted,5
1637,italy according bbc,5
560,could facilitate mission,5
1641,italys total reaching,5
1738,link true uk,5
18,according mortality figures,5
2880,toll according mortality,5
1840,microsoftuk continue impressive,5
1770,low data changes,5
14,according government figures,5
392,collecting data could,5
2908,total reaching figure,5
10,according bbc head,5
337,centralised system collecting,5
364,chrisgiles_ ft paywall,5
1814,may easing lockdown,5
339,change advice changes,5
2,absolutely cracking lineup,5
346,changes science well,5
344,changes models change,5
425,concerns cybersecurity experts,5
1734,lineup latest instituteforgov,5
2977,uk coronavirus death,5
2861,time low data,5
553,corrected link true,5
1642,items sent hospitals,5
42,admitted sometimes counts,5
2785,tally report chrisgiles_,5
2968,two gloves statistics,5
1900,national statistics government,5
1690,latest instituteforgov ifgdatabites,5
1881,mortality figures office,5
1874,models change advice,5
1719,letter uk government,5
2958,true uk coronavirus,5
2849,threat government insists,5
2850,threat time low,5
462,continue impressive series,5
459,contacttracingapp raised security,5
2629,sometimes counts pair,5
2678,statistics government tally,5
721,data early may,5
2078,pair gloves two,5
2464,said people normal,5
2063,outbreak began midmarch,5
792,data updated week,5
2550,series events data,5
1431,healthdpt publichealthw scotgovhealth,5
3160,well exact science,5
2472,say government ignored,5
2535,security concerns cybersecurity,5
918,died uk since,5
828,death toll according,5
2476,says government wait,5
2462,said gloves sometimes,5
2119,penned open letter,5
1370,great support microsoftuk,5
3059,updated week new,5
214,bbc head statistics,5
1406,head statistics robert,5
2495,science science suggested,5
2496,science suggested threat,5
2103,passing italys total,5
2113,paywall savejulian freeassange,5
3151,week new indicators,5
1460,highest number coronavirus,5
2469,savejulian freeassange prisonerspeopletoo,5
2459,sages next review,5
2143,people normal died,5
2429,review data early,5
728,data government coronavirus,5
965,downing street said,5
2441,robert cuffe boristhebutcher,5
961,done uk highest,5
3019,uk since virus,5
245,boasts number protective,5
2608,since virus outbreak,5
956,dominic raab says,5
1335,government tally report,5
2497,science well exact,5
1346,government warning sort,5
2052,open letter uk,5
1343,government wait sages,5
3135,warning sort centralised,5
1824,meals wellbeing calls,4
1658,keeping eye hse,4
1913,need download succeed,4
1843,midmarch the true,4
1190,fuel data topups,4
1903,national statistics said,4
1330,government stinks poppins,4
1896,national records scotland,4
1653,karl_trotsky jacqui703 uk,4
1799,march app would,4
3206,would rolled next,4
1379,groups health care,4
1714,less intrusive compared,4
21,accounted cases recorded,4
2178,plan harvest data,4
2123,people can see,4
3113,vital support tenants,4
2126,people die office,4
1794,many people need,4
1193,full press release,4
2142,people need download,4
3144,we calling full,4
1403,harvesting data users,4
1647,jacqui703 uk coronavirus,4
2240,project idea many,4
138,apple google technology,4
137,apple google tech,4
1972,nose don even,4
136,app would rolled,4
1973,note hse said,4
1474,homes accounted cases,4
1978,nrs statistics showed,4
